Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
UMP-45,Scorched,Consumer Grade,Overpass Collection,$6.24 USD,$0.55 USD,$0.27 USD,$0.27 USD,$0.30 USD
M249,Contrast Spray,Consumer Grade,Overpass Collection,$4.67 USD,$0.52 USD,$0.29 USD,$0.23 USD,$0.24 USD
MAG-7,Storm,Consumer Grade,Overpass Collection,$7.44 USD,$0.49 USD,$0.29 USD,$0.33 USD,$0.26 USD
MP9,Storm,Consumer Grade,Overpass Collection,$12.79 USD,$1.67 USD,$0.28 USD,$0.29 USD,$0.26 USD
Desert Eagle,Urban DDPAT,Industrial Grade,Overpass Collection,$0.67 USD,$0.42 USD,$0.24 USD,$0.23 USD,$0.20 USD
MP7,Gunsmoke,Industrial Grade,Overpass Collection,$7.84 USD,$2.40 USD,$1.83 USD,$1.89 USD,$1.85 USD
Glock-18,Night,Industrial Grade,Overpass Collection,$43.05 USD,$2.76 USD,$1.81 USD,$2.17 USD,$1.68 USD
P2000,Grassland,Industrial Grade,Overpass Collection,$182.33 USD,$24.14 USD,$8.37 USD,$8.39 USD,$9.39 USD
CZ75-Auto,Nitro,Mil-Spec,Overpass Collection,$69.70 USD,$10.57 USD,$8.61 USD,$7.72 USD,$11.08 USD
SSG 08,Detour,Mil-Spec,Overpass Collection,$17.84 USD,$12.16 USD,$9.83 USD,$9.99 USD,
XM1014,VariCamo Blue,Mil-Spec,Overpass Collection,$16.00 USD,$10.62 USD,$10.46 USD,$12.57 USD,$11.91 USD
AWP,Pink DDPAT,Restricted,Overpass Collection,$142.72 USD,$41.61 USD,$26.79 USD,$26.90 USD,$31.38 USD
USP-S,Road Rash,Restricted,Overpass Collection,$65.91 USD,$47.16 USD,$29.35 USD,$23.91 USD,$26.77 USD
M4A1-S,Master Piece,Classified,Overpass Collection,$628.72 USD,$263.79 USD,$167.40 USD,$128.17 USD,$101.40 USD
Dual Berettas,Contractor,Consumer Grade,Safehouse Collection,$0.08 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
MP7,Army Recon,Consumer Grade,Safehouse Collection,$0.06 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
Tec-9,Army Mesh,Consumer Grade,Safehouse Collection,$0.04 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
SSG 08,Blue Spruce,Consumer Grade,Safehouse Collection,,,,,
SCAR-20,Contractor,Consumer Grade,Safehouse Collection,,,,,
MP9,Orange Peel,Industrial Grade,Safehouse Collection,,,,,
AUG,Condemned,Industrial Grade,Safehouse Collection,$0.63 USD,$0.08 USD,$0.06 USD,$0.06 USD,$0.06 USD
USP-S,Forest Leaves,Industrial Grade,Safehouse Collection,$0.97 USD,$0.10 USD,$0.06 USD,$0.07 USD,$0.07 USD
Galil AR,VariCamo,Industrial Grade,Safehouse Collection,$0.12 USD,$0.09 USD,$0.06 USD,$0.06 USD,$0.07 USD
M249,Gator Mesh,Industrial Grade,Safehouse Collection,$0.13 USD,$0.08 USD,$0.06 USD,$0.07 USD,$0.06 USD
G3SG1,VariCamo,Industrial Grade,Safehouse Collection,$0.13 USD,$12.44 USD,$7.16 USD,$5.92 USD,$0.03 USD
FAMAS,Teardown,Mil-Spec,Safehouse Collection,$0.71 USD,$0.44 USD,$0.25 USD,$0.24 USD,$0.18 USD
Five-SeveN,Silver Quartz,Mil-Spec,Safehouse Collection,$0.71 USD,$0.44 USD,$0.25 USD,$0.37 USD,
SSG 08,Acid Fade,Mil-Spec,Safehouse Collection,$1.23 USD,,,,
M4A1-S,Nitro,Restricted,Safehouse Collection,$7.32 USD,$2.39 USD,$0.82 USD,$0.97 USD,$0.66 USD
M249,Jungle,Consumer Grade,St. Marc Collection,$26.79 USD,$3.34 USD,$1.70 USD,$6.93 USD,$2.10 USD
MP5-SD,Bamboo Garden,Consumer Grade,St. Marc Collection,,,,,
MAC-10,Surfwood,Consumer Grade,St. Marc Collection,$3.61 USD,$3.24 USD,$3.14 USD,$2.87 USD,$3.14 USD
PP-Bizon,Seabird,Consumer Grade,St. Marc Collection,$3.60 USD,$3.23 USD,$3.20 USD,$2.92 USD,$2.82 USD
Sawed-Off,Jungle Thicket,Consumer Grade,St. Marc Collection,$3.61 USD,$3.30 USD,$2.99 USD,$2.64 USD,$2.77 USD
M4A4,Dark Blossom,Industrial Grade,St. Marc Collection,$22.88 USD,$19.91 USD,$21.26 USD,$20.05 USD,$21.47 USD
P90,Sunset Lily,Industrial Grade,St. Marc Collection,$23.04 USD,$19.60 USD,$20.81 USD,$19.95 USD,$19.91 USD
Tec-9,Rust Leaf,Industrial Grade,St. Marc Collection,$22.61 USD,$21.17 USD,$21.46 USD,$19.91 USD,$20.69 USD
XM1014,Banana Leaf,Industrial Grade,St. Marc Collection,$22.00 USD,$21.01 USD,$19.86 USD,$21.18 USD,$19.89 USD
MP7,Teal Blossom,Mil-Spec,St. Marc Collection,$99.00 USD,$93.18 USD,$93.47 USD,$108.36 USD,$126.30 USD
Five-SeveN,Crimson Blossom,Mil-Spec,St. Marc Collection,$103.79 USD,$94.23 USD,$95.28 USD,$125.64 USD,$110.00 USD
FAMAS,Sundown,Mil-Spec,St. Marc Collection,,,,,
UMP-45,Day Lily,Mil-Spec,St. Marc Collection,$114.07 USD,$92.13 USD,$89.00 USD,$220.00 USD,$107.67 USD
AUG,Midnight Lily,Restricted,St. Marc Collection,$324.72 USD,$332.93 USD,$335.01 USD,$283.12 USD,$624.11 USD
SSG 08,Sea Calico,Restricted,St. Marc Collection,$370.41 USD,$366.32 USD,$352.14 USD,,
Glock-18,Synth Leaf,Restricted,St. Marc Collection,$383.33 USD,$378.47 USD,$299.54 USD,$955.00 USD,$581.03 USD
MP9,Wild Lily,Classified,St. Marc Collection,,,,,
AK-47,Wild Lotus,Covert,St. Marc Collection,,,,,
PP-Bizon,Urban Dashed,Consumer Grade,Train Collection,$0.08 USD,$0.03 USD,$0.03 USD,$0.03 USD,$0.03 USD
Nova,Polar Mesh,Consumer Grade,Train Collection,$0.09 USD,$0.03 USD,$0.03 USD,$0.03 USD,$0.03 USD
Five-SeveN,Forest Night,Consumer Grade,Train Collection,,,,,
G3SG1,Polar Camo,Consumer Grade,Train Collection,,,,,
Dual Berettas,Colony,Consumer Grade,Train Collection,,,,,
UMP-45,Urban DDPAT,Consumer Grade,Train Collection,$0.09 USD,$0.03 USD,$0.03 USD,$0.03 USD,$0.03 USD
M4A4,Urban DDPAT,Industrial Grade,Train Collection,$3.53 USD,$0.22 USD,$0.14 USD,$0.13 USD,$0.12 USD
MAC-10,Candy Apple,Industrial Grade,Train Collection,$0.22 USD,$0.16 USD,$0.14 USD,,
P90,Ash Wood,Industrial Grade,Train Collection,,,,,
SCAR-20,Carbon Fiber,Industrial Grade,Train Collection,$0.20 USD,$0.17 USD,,,
MAG-7,Metallic DDPAT,Industrial Grade,Train Collection,$0.20 USD,$0.18 USD,,,
P250,Metallic DDPAT,Industrial Grade,Train Collection,$0.20 USD,$0.18 USD,,,
Sawed-Off,Amber Fade,Mil-Spec,Train Collection,$0.68 USD,$0.36 USD,$0.23 USD,$0.25 USD,
Desert Eagle,Urban Rubble,Mil-Spec,Train Collection,$18.61 USD,$2.40 USD,$1.94 USD,$1.87 USD,$1.82 USD
Tec-9,Red Quartz,Restricted,Train Collection,$0.14 USD,$0.13 USD,$0.12 USD,$0.22 USD,
XM1014,Urban Perforated,Consumer Grade,Vertigo Collection,,,,,
MAC-10,Urban DDPAT,Consumer Grade,Vertigo Collection,,,,,
PP-Bizon,Carbon Fiber,Industrial Grade,Vertigo Collection,,,,,
P90,Glacier Mesh,Mil-Spec,Vertigo Collection,$28.28 USD,$6.03 USD,$4.78 USD,$7.57 USD,$6.41 USD
AK-47,Black Laminate,Mil-Spec,Vertigo Collection,$237.85 USD,$36.65 USD,$39.06 USD,$37.97 USD,$37.03 USD
Dual Berettas,Demolition,Restricted,Vertigo Collection,,,$12.51 USD,$8.67 USD,$9.86 USD
MAG-7,Rust Coat,Consumer Grade,2018 Inferno Collection,$0.06 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD
AUG,Sweeper,Consumer Grade,2018 Inferno Collection,,,,,
UMP-45,Mudder,Consumer Grade,2018 Inferno Collection,$0.06 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
MP9,Slide,Consumer Grade,2018 Inferno Collection,$0.08 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
MP5-SD,Dirt Drop,Consumer Grade,2018 Inferno Collection,$0.07 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD
PP-Bizon,Candy Apple,Industrial Grade,2018 Inferno Collection,$0.13 USD,$0.09 USD,$0.08 USD,,
MAC-10,Calf Skin,Industrial Grade,2018 Inferno Collection,$0.36 USD,$0.09 USD,$0.08 USD,$0.07 USD,$0.07 USD
R8 Revolver,Nitro,Industrial Grade,2018 Inferno Collection,$0.39 USD,$0.09 USD,$0.08 USD,$0.07 USD,$0.06 USD
Glock-18,High Beam,Industrial Grade,2018 Inferno Collection,,,,,
Sawed-Off,Brake Light,Mil-Spec,2018 Inferno Collection,,,,,
SSG 08,Hand Brake,Mil-Spec,2018 Inferno Collection,$1.41 USD,$0.77 USD,$0.58 USD,$0.47 USD,$0.41 USD
USP-S,Check Engine,Mil-Spec,2018 Inferno Collection,$1.58 USD,$0.91 USD,$0.61 USD,$0.62 USD,$0.53 USD
M4A4,Converter,Mil-Spec,2018 Inferno Collection,$1.08 USD,$0.77 USD,$0.62 USD,$1.43 USD,
P250,Vino Primo,Restricted,2018 Inferno Collection,$9.73 USD,$5.14 USD,$1.93 USD,$1.27 USD,$1.21 USD
MP7,Fade,Restricted,2018 Inferno Collection,,,,,
AK-47,Safety Net,Restricted,2018 Inferno Collection,$9.79 USD,$5.73 USD,$3.43 USD,$5.02 USD,$3.33 USD
Dual Berettas,Twin Turbo,Classified,2018 Inferno Collection,$11.36 USD,$6.99 USD,$3.63 USD,$2.31 USD,$2.22 USD
SG 553,Integrale,Classified,2018 Inferno Collection,$160.06 USD,$50.20 USD,$17.80 USD,$9.00 USD,$8.27 USD
Nova,Mandrel,Consumer Grade,2018 Nuke Collection,$0.04 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD
PP-Bizon,Facility Sketch,Consumer Grade,2018 Nuke Collection,$0.04 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
UMP-45,Facility Dark,Consumer Grade,2018 Nuke Collection,$0.04 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
Five-SeveN,Coolant,Consumer Grade,2018 Nuke Collection,$0.05 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD
P250,Facility Draft,Consumer Grade,2018 Nuke Collection,$0.04 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD
MP7,Motherboard,Industrial Grade,2018 Nuke Collection,$0.10 USD,$0.07 USD,$0.05 USD,$0.05 USD,$0.05 USD
Negev,Bulkhead,Industrial Grade,2018 Nuke Collection,$0.10 USD,$0.07 USD,$0.05 USD,$0.06 USD,$0.05 USD
Galil AR,Cold Fusion,Industrial Grade,2018 Nuke Collection,$7.55 USD,$3.15 USD,$1.46 USD,$1.46 USD,$1.02 USD
M4A4,Mainframe,Industrial Grade,2018 Nuke Collection,$0.11 USD,$0.08 USD,$0.05 USD,$0.06 USD,$0.06 USD
P250,Exchanger,Mil-Spec,2018 Nuke Collection,$0.67 USD,$0.46 USD,$0.26 USD,$0.42 USD,$0.19 USD
P90,Facility Negative,Mil-Spec,2018 Nuke Collection,$0.67 USD,$0.44 USD,$0.24 USD,$0.19 USD,$0.19 USD
MP5-SD,Co-Processor,Mil-Spec,2018 Nuke Collection,$0.67 USD,$0.45 USD,$0.24 USD,$0.22 USD,$0.19 USD
AWP,Acheron,Mil-Spec,2018 Nuke Collection,$1.92 USD,$0.89 USD,$0.46 USD,$0.81 USD,$0.35 USD
MAG-7,Core Breach,Restricted,2018 Nuke Collection,$4.96 USD,$2.09 USD,$0.85 USD,$0.77 USD,$0.88 USD
AUG,Random Access,Restricted,2018 Nuke Collection,$4.92 USD,$2.18 USD,$0.94 USD,$0.88 USD,$0.75 USD
Glock-18,Nuclear Garden,Restricted,2018 Nuke Collection,,,,,
Tec-9,Remote Control,Classified,2018 Nuke Collection,$7.65 USD,$3.53 USD,$2.11 USD,$1.74 USD,$1.39 USD
M4A1-S,Control Panel,Classified,2018 Nuke Collection,,,,,
R8 Revolver,Desert Brush,Consumer Grade,2021 Dust II Collection,$0.68 USD,$0.59 USD,$0.59 USD,$0.55 USD,$0.57 USD
P90,Desert DDPAT,Consumer Grade,2021 Dust II Collection,,,,,
SG 553,Bleached,Consumer Grade,2021 Dust II Collection,,,,,
MP7,Prey,Consumer Grade,2021 Dust II Collection,$0.67 USD,$0.63 USD,$0.59 USD,$0.56 USD,$0.56 USD
Sawed-Off,Parched,Consumer Grade,2021 Dust II Collection,$0.67 USD,$0.59 USD,$0.59 USD,$0.56 USD,$0.58 USD
AUG,Spalted Wood,Industrial Grade,2021 Dust II Collection,$4.40 USD,$4.25 USD,$4.36 USD,$4.29 USD,$4.09 USD
MP9,Old Roots,Industrial Grade,2021 Dust II Collection,$4.40 USD,$4.25 USD,$4.31 USD,$4.31 USD,$4.68 USD
Five-SeveN,Withered Vine,Industrial Grade,2021 Dust II Collection,$4.67 USD,$4.20 USD,$4.20 USD,$4.14 USD,$4.73 USD
M249,Midnight Palm,Industrial Grade,2021 Dust II Collection,$4.68 USD,$4.51 USD,$4.30 USD,$4.45 USD,$4.10 USD
P250,Black & Tan,Mil-Spec,2021 Dust II Collection,$23.93 USD,$23.04 USD,$22.90 USD,$25.14 USD,$23.48 USD
Nova,Quick Sand,Mil-Spec,2021 Dust II Collection,,,,,
G3SG1,New Roots,Mil-Spec,2021 Dust II Collection,$23.49 USD,$23.32 USD,$22.88 USD,$24.07 USD,$21.43 USD
Galil AR,Amber Fade,Mil-Spec,2021 Dust II Collection,$23.65 USD,$24.05 USD,$23.60 USD,$27.04 USD,
USP-S,Orange Anolis,Restricted,2021 Dust II Collection,$91.13 USD,$100.68 USD,$92.51 USD,,
M4A4,Red DDPAT,Restricted,2021 Dust II Collection,$94.10 USD,$90.04 USD,$95.54 USD,$182.17 USD,
MAC-10,Case Hardened,Restricted,2021 Dust II Collection,$105.22 USD,$90.87 USD,$92.20 USD,$85.64 USD,$88.96 USD
UMP-45,Fade,Classified,2021 Dust II Collection,$683.58 USD,"$1,008.15 USD",,,
SSG 08,Death Strike,Classified,2021 Dust II Collection,,,,,
AK-47,Gold Arabesque,Covert,2021 Dust II Collection,,,,,
P250,Drought,Consumer Grade,2021 Mirage Collection,,,,,
PP-Bizon,Anolis,Consumer Grade,2021 Mirage Collection,$0.35 USD,$0.36 USD,$0.31 USD,$0.31 USD,$0.31 USD
MAG-7,Navy Sheen,Consumer Grade,2021 Mirage Collection,$0.36 USD,$0.35 USD,$0.33 USD,$0.33 USD,$0.36 USD
MAC-10,Sienna Damask,Consumer Grade,2021 Mirage Collection,$0.36 USD,$0.35 USD,$0.33 USD,$0.33 USD,$0.30 USD
SSG 08,Prey,Consumer Grade,2021 Mirage Collection,$0.37 USD,$0.34 USD,$0.33 USD,$0.29 USD,$0.34 USD
Dual Berettas,Drift Wood,Industrial Grade,2021 Mirage Collection,$2.66 USD,$2.66 USD,$2.62 USD,$2.44 USD,$2.83 USD
FAMAS,CaliCamo,Industrial Grade,2021 Mirage Collection,,,,,
CZ75-Auto,Midnight Palm,Industrial Grade,2021 Mirage Collection,,,,,
P90,Verdant Growth,Industrial Grade,2021 Mirage Collection,$2.66 USD,$2.67 USD,$2.77 USD,$2.44 USD,$2.48 USD
USP-S,Purple DDPAT,Mil-Spec,2021 Mirage Collection,$15.49 USD,$14.19 USD,$14.19 USD,$14.98 USD,$13.82 USD
MP9,Music Box,Mil-Spec,2021 Mirage Collection,$15.64 USD,$14.35 USD,$14.49 USD,$14.36 USD,$14.35 USD
M249,Humidor,Mil-Spec,2021 Mirage Collection,,,,,
SG 553,Desert Blossom,Mil-Spec,2021 Mirage Collection,$14.78 USD,$14.78 USD,$14.56 USD,$14.44 USD,$13.48 USD
XM1014,Elegant Vines,Restricted,2021 Mirage Collection,$65.10 USD,$67.83 USD,$68.06 USD,,
Glock-18,Pink DDPAT,Restricted,2021 Mirage Collection,$102.04 USD,$61.35 USD,$55.67 USD,$61.64 USD,$64.14 USD
AUG,Sand Storm,Restricted,2021 Mirage Collection,,,,,
MP5-SD,Oxide Oasis,Classified,2021 Mirage Collection,$447.02 USD,$366.10 USD,$345.95 USD,$382.61 USD,"$1,434.79 USD"
Desert Eagle,Fennec Fox,Classified,2021 Mirage Collection,$540.61 USD,$428.23 USD,$382.61 USD,"$1,167.08 USD",$415.36 USD
AWP,Desert Hydra,Covert,2021 Mirage Collection,,,,,
Desert Eagle,Sputnik,Mil-Spec,2021 Train Collection,$1.92 USD,$1.16 USD,$0.97 USD,$1.04 USD,$1.12 USD
M4A1-S,Fizzy POP,Mil-Spec,2021 Train Collection,$2.26 USD,$1.37 USD,$1.02 USD,$1.10 USD,$1.08 USD
SSG 08,Spring Twilly,Mil-Spec,2021 Train Collection,$1.28 USD,$0.99 USD,$0.99 USD,$1.02 USD,$0.99 USD
AUG,Amber Fade,Mil-Spec,2021 Train Collection,$1.23 USD,$1.15 USD,$1.10 USD,$1.03 USD,
UMP-45,Full Stop,Mil-Spec,2021 Train Collection,$1.18 USD,$1.01 USD,$1.10 USD,$1.10 USD,$0.99 USD
Tec-9,Safety Net,Mil-Spec,2021 Train Collection,$1.26 USD,$0.99 USD,$0.99 USD,$1.04 USD,$0.99 USD
R8 Revolver,Blaze,Mil-Spec,2021 Train Collection,$1.36 USD,$1.63 USD,,,
CZ75-Auto,Syndicate,Restricted,2021 Train Collection,$7.22 USD,$4.48 USD,$3.57 USD,$3.27 USD,$2.91 USD
AWP,POP AWP,Restricted,2021 Train Collection,$6.97 USD,$4.34 USD,$3.59 USD,$3.58 USD,
P2000,Space Race,Restricted,2021 Train Collection,$7.60 USD,$4.55 USD,$3.60 USD,$3.25 USD,$3.43 USD
MP5-SD,Autumn Twilly,Restricted,2021 Train Collection,$7.46 USD,$4.38 USD,$3.54 USD,$3.49 USD,$3.36 USD
Nova,Red Quartz,Restricted,2021 Train Collection,$7.02 USD,$4.48 USD,$3.94 USD,$3.99 USD,
USP-S,Whiteout,Classified,2021 Train Collection,$240.28 USD,$37.92 USD,$28.09 USD,$25.28 USD,$21.32 USD
MAC-10,Propaganda,Classified,2021 Train Collection,$40.78 USD,$34.73 USD,$27.86 USD,$22.71 USD,$22.00 USD
FAMAS,Meltdown,Classified,2021 Train Collection,,,,,
M4A4,The Coalition,Covert,2021 Train Collection,,,,,
Glock-18,Gamma Doppler,Covert,2021 Train Collection,,,,,
MAC-10,Strats,Consumer Grade,2021 Vertigo Collection,$0.82 USD,$0.47 USD,$0.46 USD,$0.47 USD,$0.46 USD
FAMAS,Faulty Wiring,Consumer Grade,2021 Vertigo Collection,$0.71 USD,$0.46 USD,$0.47 USD,$0.47 USD,$0.60 USD
XM1014,Blue Tire,Consumer Grade,2021 Vertigo Collection,,,,,
CZ75-Auto,Framework,Consumer Grade,2021 Vertigo Collection,$0.73 USD,$0.49 USD,$0.47 USD,$0.53 USD,$0.52 USD
Dual Berettas,Oil Change,Consumer Grade,2021 Vertigo Collection,$0.67 USD,$0.52 USD,$0.51 USD,$0.46 USD,$0.44 USD
Glock-18,Red Tire,Industrial Grade,2021 Vertigo Collection,$2.97 USD,$2.78 USD,$2.82 USD,$2.75 USD,$2.78 USD
UMP-45,Mechanism,Industrial Grade,2021 Vertigo Collection,$3.13 USD,$2.71 USD,$2.73 USD,$5.20 USD,$4.90 USD
SSG 08,Carbon Fiber,Industrial Grade,2021 Vertigo Collection,$3.27 USD,$3.26 USD,,,
PP-Bizon,Breaker Box,Industrial Grade,2021 Vertigo Collection,$3.12 USD,$2.83 USD,$2.89 USD,$3.25 USD,
AK-47,Green Laminate,Mil-Spec,2021 Vertigo Collection,$20.37 USD,$14.93 USD,$13.65 USD,$29.74 USD,
P90,Schematic,Mil-Spec,2021 Vertigo Collection,$14.49 USD,$13.53 USD,$12.57 USD,$14.10 USD,$13.61 USD
Nova,Interlock,Mil-Spec,2021 Vertigo Collection,$13.92 USD,$13.00 USD,$13.36 USD,$22.00 USD,$21.05 USD
Negev,Infrastructure,Mil-Spec,2021 Vertigo Collection,$13.84 USD,$12.56 USD,$13.00 USD,$13.77 USD,$13.36 USD
Galil AR,CAUTION!,Restricted,2021 Vertigo Collection,$77.42 USD,$64.14 USD,$48.73 USD,$38.23 USD,$55.66 USD
MAG-7,Prism Terrace,Restricted,2021 Vertigo Collection,$54.15 USD,$51.44 USD,$51.87 USD,,
P250,Digital Architect,Restricted,2021 Vertigo Collection,$57.40 USD,$50.08 USD,$62.84 USD,$46.95 USD,$49.99 USD
Five-SeveN,Fall Hazard,Classified,2021 Vertigo Collection,$367.47 USD,"$1,151.59 USD",$366.43 USD,,$235.56 USD
SG 553,Hazard Pay,Classified,2021 Vertigo Collection,$327.38 USD,,$240.79 USD,$382.60 USD,$935.91 USD
M4A1-S,Imminent Danger,Covert,2021 Vertigo Collection,,,,,$813.42 USD
SCAR-20,Army Sheen,Consumer Grade,Chop Shop Collection,$3.26 USD,$2.10 USD,$1.93 USD,,
CZ75-Auto,Army Sheen,Consumer Grade,Chop Shop Collection,$3.20 USD,$2.09 USD,$2.24 USD,,
M249,Impact Drill,Consumer Grade,Chop Shop Collection,,,,,
MAG-7,Seabird,Consumer Grade,Chop Shop Collection,$4.96 USD,$2.20 USD,$1.84 USD,$1.67 USD,$1.46 USD
Desert Eagle,Night,Industrial Grade,Chop Shop Collection,$13.73 USD,$11.73 USD,$11.12 USD,$12.93 USD,$10.84 USD
Galil AR,Urban Rubble,Industrial Grade,Chop Shop Collection,$15.91 USD,$11.67 USD,$9.40 USD,$10.45 USD,$8.11 USD
USP-S,Para Green,Industrial Grade,Chop Shop Collection,,,,,
MAC-10,Fade,Mil-Spec,Chop Shop Collection,$21.51 USD,$12.90 USD,$13.15 USD,$10.84 USD,
P250,Whiteout,Mil-Spec,Chop Shop Collection,$176.94 USD,$39.53 USD,$25.14 USD,$25.57 USD,$23.92 USD
MP7,Full Stop,Mil-Spec,Chop Shop Collection,$26.67 USD,$24.45 USD,$25.96 USD,$25.39 USD,$25.48 USD
Five-SeveN,Nitro,Mil-Spec,Chop Shop Collection,$30.74 USD,$25.14 USD,$25.05 USD,$23.92 USD,$29.64 USD
CZ75-Auto,Emerald,Mil-Spec,Chop Shop Collection,$120.39 USD,$121.38 USD,$101.56 USD,$145.62 USD,$140.70 USD
SG 553,Bulldozer,Restricted,Chop Shop Collection,$220.90 USD,$156.51 USD,$119.62 USD,$160.03 USD,$147.52 USD
Dual Berettas,Duelist,Restricted,Chop Shop Collection,$194.18 USD,$136.11 USD,$130.03 USD,$132.44 USD,$144.45 USD
Glock-18,Twilight Galaxy,Classified,Chop Shop Collection,$240.79 USD,$202.13 USD,$200.32 USD,,
M4A1-S,Hot Rod,Classified,Chop Shop Collection,$995.19 USD,"$1,256.28 USD",,,
MP7,Asterion,Consumer Grade,Gods and Monsters Collection,$4.34 USD,$3.89 USD,$3.33 USD,$3.26 USD,$3.45 USD
AUG,Daedalus,Consumer Grade,Gods and Monsters Collection,$4.68 USD,$3.79 USD,$3.35 USD,$3.33 USD,$3.21 USD
Dual Berettas,Moon in Libra,Consumer Grade,Gods and Monsters Collection,$4.05 USD,$3.86 USD,$3.34 USD,$3.23 USD,$3.74 USD
Nova,Moon in Libra,Consumer Grade,Gods and Monsters Collection,$4.30 USD,$3.63 USD,$3.26 USD,$3.56 USD,$3.61 USD
Tec-9,Hades,Industrial Grade,Gods and Monsters Collection,$19.34 USD,$15.88 USD,$16.03 USD,$15.65 USD,$15.67 USD
P2000,Pathfinder,Industrial Grade,Gods and Monsters Collection,$17.69 USD,$15.35 USD,$15.67 USD,,
AWP,Sun in Leo,Industrial Grade,Gods and Monsters Collection,$27.46 USD,$18.29 USD,$15.71 USD,$16.44 USD,$16.75 USD
M249,Shipping Forecast,Industrial Grade,Gods and Monsters Collection,$17.29 USD,$16.06 USD,$15.71 USD,$15.07 USD,$18.66 USD
UMP-45,Minotaur's Labyrinth,Mil-Spec,Gods and Monsters Collection,$110.00 USD,$111.10 USD,$119.19 USD,$279.08 USD,
MP9,Pandora's Box,Mil-Spec,Gods and Monsters Collection,$143.99 USD,$121.28 USD,$120.39 USD,,
G3SG1,Chronos,Restricted,Gods and Monsters Collection,,,,,
M4A1-S,Icarus Fell,Restricted,Gods and Monsters Collection,$539.61 USD,$540.90 USD,,,
M4A4,Poseidon,Classified,Gods and Monsters Collection,"$1,552.22 USD","$1,186.13 USD",,,
AWP,Medusa,Covert,Gods and Monsters Collection,,,,,
PP-Bizon,Bamboo Print,Consumer Grade,Rising Sun Collection,$5.30 USD,$3.22 USD,$2.76 USD,$3.12 USD,$2.53 USD
Sawed-Off,Bamboo Shadow,Consumer Grade,Rising Sun Collection,$3.74 USD,$3.21 USD,$3.04 USD,$3.21 USD,$2.51 USD
Tec-9,Bamboo Forest,Consumer Grade,Rising Sun Collection,,,,,
G3SG1,Orange Kimono,Consumer Grade,Rising Sun Collection,$4.48 USD,$3.64 USD,$3.09 USD,$2.54 USD,$2.66 USD
P250,Mint Kimono,Consumer Grade,Rising Sun Collection,$3.83 USD,$3.24 USD,$2.70 USD,$3.58 USD,$2.34 USD
P250,Crimson Kimono,Industrial Grade,Rising Sun Collection,$22.05 USD,$20.58 USD,$19.23 USD,$20.96 USD,$19.27 USD
Desert Eagle,Midnight Storm,Industrial Grade,Rising Sun Collection,$25.98 USD,$264.72 USD,$262.46 USD,$436.83 USD,$257.69 USD
Galil AR,Aqua Terrace,Mil-Spec,Rising Sun Collection,$141.33 USD,$109.25 USD,$104.02 USD,$198.91 USD,$138.44 USD
MAG-7,Counter Terrace,Mil-Spec,Rising Sun Collection,$128.02 USD,$109.97 USD,$106.75 USD,$120.39 USD,$104.02 USD
Tec-9,Terrace,Mil-Spec,Rising Sun Collection,$130.02 USD,$109.05 USD,$113.15 USD,$110.77 USD,$104.02 USD
Five-SeveN,Neon Kimono,Restricted,Rising Sun Collection,$382.61 USD,$285.05 USD,$293.09 USD,$483.03 USD,$246.03 USD
Desert Eagle,Sunset Storm 壱,Restricted,Rising Sun Collection,$331.92 USD,$322.98 USD,$262.46 USD,$471.10 USD,$257.69 USD
Desert Eagle,Sunset Storm 弐,Restricted,Rising Sun Collection,$300.54 USD,$264.72 USD,$263.05 USD,$436.83 USD,$288.31 USD
M4A4,Daybreak,Restricted,Rising Sun Collection,$300.08 USD,$286.96 USD,$267.99 USD,"$1,541.88 USD",
AK-47,Hydroponic,Classified,Rising Sun Collection,,,$901.05 USD,$837.43 USD,$621.08 USD
AUG,Akihabara Accept,Covert,Rising Sun Collection,,,$908.69 USD,$634.18 USD,$393.56 USD
M249,Jungle DDPAT,Consumer Grade,Alpha Collection,$26.79 USD,$3.34 USD,$1.70 USD,$6.93 USD,$2.10 USD
Tec-9,Tornado,Consumer Grade,Alpha Collection,$41.42 USD,$3.87 USD,$1.87 USD,$1.76 USD,$1.74 USD
MP9,Dry Season,Consumer Grade,Alpha Collection,$47.15 USD,$3.01 USD,$1.57 USD,$1.41 USD,$1.67 USD
Five-SeveN,Anodized Gunmetal,Consumer Grade,Alpha Collection,$9.13 USD,$9.55 USD,,,
